total_time,partition_size,solver,edge_size,load_limit,nodes_traversed,graph_filename,custom_config,iterations,symmetry_breaker,problem,select_cuts,traversal_strategy,vertex_size,branching_strategy,colors_used
0.13749612,10,2,160,30,0,DIMACS/queen5_5.col,1,1,1,queen5_5.col,0,1,25,0,3
0.5436351,10,2,290,30,4,DIMACS/queen6_6.col,1,1,1,queen6_6.col,0,1,36,0,2
0.4111779,10,2,476,30,0,DIMACS/queen7_7.col,1,1,1,queen7_7.col,0,1,49,0,2
3.957056,10,2,1368,30,2084,DIMACS/queen8_12.col,1,1,1,queen8_12.col,0,1,96,0,2
0.636655,10,2,728,30,0,DIMACS/queen8_8.col,1,1,1,queen8_8.col,0,1,64,0,2
2.538189,10,2,1056,30,1474,DIMACS/queen9_9.col,1,1,1,queen9_9.col,0,1,81,0,2
90.0398,10,2,19095,30,0,DIMACS/school1.col,1,1,1,school1.col,0,1,385,0,1
46.1335,10,2,14612,30,0,DIMACS/school1_nsh.col,1,1,1,school1_nsh.col,0,1,352,0,1
4.86612,10,2,4100,30,0,DIMACS/zeroin.i.1.col,1,1,1,zeroin.i.1.col,0,1,211,0,1
3.8191,10,2,3541,30,0,DIMACS/zeroin.i.2.col,1,1,1,zeroin.i.2.col,0,1,211,0,1
1.909491,10,2,3540,30,0,DIMACS/zeroin.i.3.col,1,1,1,zeroin.i.3.col,0,1,206,0,1
